times,theta_mu,theta_var,range_mu,range_var
1398179925.00431,-2.1569453115803063,9.565508686634167e-07,2.747502805472444,5.226886815820794e-05
1398179925.100652,-2.1531168402760574,1.5087820925927828e-06,2.740900973814826,3.355623535365231e-05
1398179925.206733,-2.149632453608179,6.256899590006004e-07,2.736094459810479,1.9116770951736226e-05
1398179925.307732,-2.1457637818004405,1.9679428872726142e-06,2.730165697706266,2.6676869485810503e-05
1398179925.425389,-2.1415790159226598,9.287822532600967e-07,2.7238577083211077,2.2209503670372835e-05
1398179925.521455,-2.1380598521870082,1.0046037733744537e-06,2.7187776027361523,2.550777226556393e-05
1398179925.636054,-2.1338815437343297,1.951697452485495e-06,2.713491616142328,2.3302466013073855e-05
1398179925.749088,-2.129657774610931,1.0302971350181964e-06,2.7084341785220842,1.7124933013585236e-05
1398179925.845307,-2.1258332457633786,1.4653382315070054e-06,2.703188380255735,1.7295932015923975e-05
1398179925.952841,-2.1219791169828115,1.057499121721818e-06,2.6970889906026496,1.602277880491684e-05
1398179926.052676,-2.118494608312181,9.331136189065405e-07,2.6921131459922463,1.8066258867219062e-05
1398179926.149297,-2.114957729441856,1.0089681869045253e-06,2.6876212886242996,1.8929658873085e-05
1398179926.259981,-2.111133785738232,1.4535974958763016e-06,2.6813269546313707,1.9076077413092018e-05
1398179926.379961,-2.106921821469035,1.5051409965478474e-06,2.6759116993364955,2.064890982934772e-05
1398179926.476522,-2.1027395720187854,1.4997469834388347e-06,2.668846189110828,1.8241510142507963e-05
1398179926.584709,-2.098541996857723,1.4584284209994435e-06,2.6605706447589452,1.8167216108770806e-05
1398179926.695145,-2.0946976693359343,1.0001200908070108e-06,2.654063005937784,1.4945708734157754e-05
1398179926.803869,-2.0908419773578046,1.4459829871658152e-06,2.645586156667425,2.1504405652580384e-05
1398179926.901611,-2.0873275751221825,6.409665297443783e-07,2.637422778225059,2.509793096022737e-05
1398179927.004091,-2.0835020441100576,1.9618794897059226e-06,2.6295671466862096,3.583666332734807e-05
1398179927.117234,-2.0792797572061246,9.705275696350763e-07,2.6200646925642395,4.5725173589713716e-05
1398179927.213495,-2.075808561283368,1.053021137877063e-06,2.611612954848937,4.6725682388198625e-05
1398179927.31163,-2.0722957220181364,9.414487517340781e-07,2.6041815824574566,3.433339794162585e-05
1398179927.427936,-2.068095824347925,1.993657542009556e-06,2.592495814264812,4.854712417447133e-05
1398179927.526512,-2.0639211139173406,9.248110545718284e-07,2.5830344291463287,3.3749411610799276e-05
1398179927.621652,-2.060398565112554,1.022542770746574e-06,2.5740698785319442,3.382012599237982e-05
1398179927.718715,-2.05725928838119,5.92494060965567e-07,2.5668390266769836,3.9782430957256825e-05
1398179927.835933,-2.053771348970837,1.407910627658586e-06,2.5593693167253653,4.2086184248312553e-05
1398179927.939816,-2.049199703847976,1.8879398771943753e-06,2.5484798514129285,4.541102017363205e-05
